Geneid,Chr,Start,End,Strand,Length,raw_count_1,raw_count_2,raw_count,FPKM
dsim_GLEANR_6740:1,2L,103083,103530,+,448,71,68,69.5,17.07444819
dsim_GLEANR_6740:2,2L,103630,104058,+,429,83,90,86.5,22.19211538
dsim_GLEANR_6740:3,2L,104139,104386,+,248,41,42,41.5,18.41773849
dsim_GLEANR_6731:5,2L,105079,105553,-,475,467,469,468,108.4406544
dsim_GLEANR_6731:4,2L,105611,105942,-,332,165,174,169.5,56.19161383
dsim_GLEANR_6731:3,2L,105997,106061,-,65,0,0,0,0
dsim_GLEANR_6731:2,2L,106117,106520,-,404,127,128,127.5,34.7351122
dsim_GLEANR_6731:1,2L,106578,107251,-,674,232,227,229.5,37.47681542
dsim_GLEANR_6741:1,2L,110368,110410,+,43,1,0,0.5,1.279798024
dsim_GLEANR_6741:2,2L,110992,111069,+,78,87,84,85.5,120.6455752
dsim_GLEANR_6741:3,2L,111327,111449,+,123,82,91,86.5,77.40176828
dsim_GLEANR_6741:4,2L,112143,112255,+,113,22,19,20.5,19.9671143
dsim_GLEANR_6741:5,2L,113867,114546,+,680,931,911,921,149.070121
dsim_GLEANR_6741:6,2L,114611,114719,+,109,269,248,258.5,261.0200905
dsim_GLEANR_6730:1,2L,116831,117280,-,450,107,116,111.5,27.27107389
dsim_GLEANR_6729:9,2L,117858,118286,-,429,2169,2196,2182.5,559.9340095
dsim_GLEANR_6729:8,2L,118347,118603,-,257,639,604,621.5,266.1631306
dsim_GLEANR_6729:7,2L,118663,118831,-,169,220,212,216,140.6717638
dsim_GLEANR_6729:6,2L,118888,119401,-,514,926,890,908,194.4297044
dsim_GLEANR_6729:5,2L,119458,119603,-,146,118,115,116.5,87.82394794
dsim_GLEANR_6729:4,2L,119658,119759,-,102,18,26,22,23.73899864
dsim_GLEANR_6729:3,2L,119812,119899,-,88,18,16,17,21.26209898
dsim_GLEANR_6729:2,2L,119955,120078,-,124,70,59,64.5,57.25031966
dsim_GLEANR_6729:1,2L,120353,120557,-,205,255,250,252.5,135.5649468
dsim_GLEANR_6728:7,2L,123816,124316,-,501,7771,7495,7633,1676.862385
dsim_GLEANR_6728:6,2L,124393,124493,-,101,62,83,72.5,79.00535325
dsim_GLEANR_6728:5,2L,124555,124723,-,169,725,750,737.5,480.3028974
dsim_GLEANR_6728:4,2L,124786,125619,-,834,4260,4235,4247.5,560.5407927
dsim_GLEANR_6728:3,2L,125800,125989,-,190,433,414,423.5,245.3238096
dsim_GLEANR_6728:2,2L,126840,126957,-,118,102,99,100.5,93.73978236
dsim_GLEANR_6728:1,2L,129595,129778,-,184,656,702,679,406.1550315
dsim_GLEANR_6742:1,2L,133133,134332,+,1200,2132,2159,2145.5,196.7828106
dsim_GLEANR_6727:3,2L,140930,140941,-,12,0,0,0,0
dsim_GLEANR_6727:2,2L,141165,141680,-,516,2,2,2,0.4265993412
dsim_GLEANR_6727:1,2L,141738,141818,-,81,0,0,0,0
dsim_GLEANR_6726:3,2L,141954,142170,-,217,0,1,0.5,0.25360053
dsim_GLEANR_6726:2,2L,142228,142441,-,214,3,3,3,1.542934066
dsim_GLEANR_6726:1,2L,142601,143420,-,820,9,8,8.5,1.140893116
dsim_GLEANR_6725:3,2L,143616,143826,-,211,71,82,76.5,39.90422369
dsim_GLEANR_6725:2,2L,143882,144095,-,214,101,90,95.5,49.11673443
dsim_GLEANR_6725:1,2L,144157,144973,-,817,310,316,313,42.16597699
dsim_GLEANR_6743:1,2L,145876,146592,+,717,212,212,212,32.54292548
dsim_GLEANR_6724:4,2L,146964,148500,-,1537,453,450,451.5,32.33134513
dsim_GLEANR_6724:3,2L,149958,150063,-,106,0,1,0.5,0.5191633492
dsim_GLEANR_6724:2,2L,150120,150319,-,200,4,12,8,4.402505202
dsim_GLEANR_6724:1,2L,150374,150489,-,116,6,12,9,8.539341986
dsim_GLEANR_6723:3,2L,150927,151436,-,510,14,14,14,3.021327099
dsim_GLEANR_6723:2,2L,151490,151639,-,150,2,3,2.5,1.834377167
dsim_GLEANR_6723:1,2L,152019,152198,-,180,1,2,1.5,0.9171885837
dsim_GLEANR_6722:1,2L,154041,156044,-,2004,10,9,9.5,0.5217539847
dsim_GLEANR_6721:2,2L,156597,157979,-,1383,69,68,68.5,5.451402862
dsim_GLEANR_6721:1,2L,158048,158167,-,120,12,12,12,11.006263
dsim_GLEANR_6744:1,2L,158524,158736,+,213,1553,1519,1536,793.6910786
dsim_GLEANR_6744:2,2L,158811,158903,+,93,396,401,398.5,471.6124524
dsim_GLEANR_6745:1,2L,159190,159297,+,108,30,31,30.5,31.082502
dsim_GLEANR_6745:2,2L,159382,159511,+,130,19,24,21.5,18.20266574
dsim_GLEANR_6745:3,2L,159696,160501,+,806,482,473,477.5,65.20459782
dsim_GLEANR_6720:2,2L,160910,161341,-,432,98,97,97.5,24.84052414
dsim_GLEANR_6720:1,2L,161402,161569,-,168,43,35,39,25.5502534
dsim_GLEANR_6746:1,2L,165791,165966,+,176,2,1,1.5,0.9380337787
dsim_GLEANR_6746:2,2L,187366,188687,+,1322,2,1,1.5,0.1248819554
dsim_GLEANR_6746:3,2L,188757,189728,+,972,0,1,0.5,0.05661657924
dsim_GLEANR_6746:4,2L,189793,190616,+,824,3,4,3.5,0.4674990354
dsim_GLEANR_6746:5,2L,200929,200931,+,3,0,0,0,0
dsim_GLEANR_6747:1,2L,200953,202924,+,1972,68,75,71.5,3.990607529
dsim_GLEANR_6747:2,2L,202986,203092,+,107,1,2,1.5,1.542934066
dsim_GLEANR_6747:3,2L,203253,203333,+,81,1,0,0.5,0.6793989509
dsim_GLEANR_6747:4,2L,203471,203666,+,196,31,30,30.5,17.12709294
dsim_GLEANR_6747:5,2L,203740,204042,+,303,32,31,31.5,11.44215461
dsim_GLEANR_6747:6,2L,204109,204428,+,320,125,124,124.5,42.821242
dsim_GLEANR_6747:7,2L,204520,204807,+,288,279,292,285.5,109.1072253
dsim_GLEANR_6748:1,2L,207261,207282,+,22,6,10,8,40.02277456
dsim_GLEANR_6748:2,2L,207398,208122,+,725,455,450,452.5,68.6942622
dsim_GLEANR_6719:3,2L,208457,208625,-,169,3,6,4.5,2.930661747
dsim_GLEANR_6719:2,2L,208685,209365,-,681,20,16,18,2.909144406
dsim_GLEANR_6719:1,2L,209422,209465,-,44,0,3,1.5,3.752135115
dsim_GLEANR_6749:1,2L,210951,211070,+,120,11,10,10.5,9.630480128
dsim_GLEANR_6749:2,2L,211150,212344,+,1195,46,50,48,4.420925725
dsim_GLEANR_6749:3,2L,212465,213594,+,1130,211,204,207.5,20.21061569
dsim_GLEANR_6718:8,2L,216317,219095,-,2779,1043,1025,1034,40.95169466
dsim_GLEANR_6718:7,2L,219186,219822,-,637,2,4,3,0.5183483361
dsim_GLEANR_6718:6,2L,219919,220153,-,235,0,0,0,0
dsim_GLEANR_6718:5,2L,220228,220426,-,199,1,1,1,0.5530785429
dsim_GLEANR_6718:4,2L,220496,220724,-,229,0,0,0,0
dsim_GLEANR_6718:3,2L,220783,221707,-,925,1,0,0.5,0.05949331353
dsim_GLEANR_6718:2,2L,221754,223037,-,1284,1,2,1.5,0.1285778388
dsim_GLEANR_6718:1,2L,225533,225670,-,138,0,0,0,0
dsim_GLEANR_6717:5,2L,230258,230644,-,387,2,1,1.5,0.4265993412
dsim_GLEANR_6717:4,2L,232273,232421,-,149,2,2,2,1.477350739
dsim_GLEANR_6717:3,2L,236041,236179,-,139,2,2,2,1.583634965
dsim_GLEANR_6717:2,2L,236376,236463,-,88,0,2,1,1.250711705
dsim_GLEANR_6750:1,2L,236652,237001,+,350,20,20,20,6.289293145
dsim_GLEANR_6750:2,2L,237445,237680,+,236,16,13,14.5,6.762322608
dsim_GLEANR_6750:3,2L,237743,238491,+,749,52,60,56,8.228981685
dsim_GLEANR_6717:1,2L,247461,247504,-,44,0,0,0,0
dsim_GLEANR_6716:5,2L,256437,256710,-,274,44,41,42.5,17.07175831
dsim_GLEANR_6716:4,2L,256773,257047,-,275,21,24,22.5,9.005124276
dsim_GLEANR_6716:3,2L,257102,257170,-,69,1,0,0.5,0.7975552901
dsim_GLEANR_6716:2,2L,257225,257412,-,188,13,11,12,7.025274258
dsim_GLEANR_6716:1,2L,257473,257563,-,91,6,8,7,8.466356157
dsim_GLEANR_6715:4,2L,257932,258414,-,483,114,106,110,25.0660234
dsim_GLEANR_6715:3,2L,258489,258654,-,166,14,9,11.5,7.624820756
dsim_GLEANR_6715:2,2L,258716,259160,-,445,54,40,47,11.62459239
dsim_GLEANR_6715:1,2L,259226,259649,-,424,47,41,44,11.42159368
dsim_GLEANR_6714:1,2L,280622,283528,-,2907,96,88,92,3.48323425
dsim_GLEANR_6752:1,2L,287395,287592,+,198,12,17,14.5,8.060142099
dsim_GLEANR_6752:2,2L,287660,288808,+,1149,89,70,79.5,7.615299467
dsim_GLEANR_6752:3,2L,288863,289516,+,654,113,121,117,19.69010354
dsim_GLEANR_6713:2,2L,290157,290696,-,540,26,34,30,6.114590558
dsim_GLEANR_6713:1,2L,290748,291866,-,1119,34,30,32,3.147456802
dsim_GLEANR_6753:1,2L,292235,292897,+,663,181,174,177.5,29.46623957
dsim_GLEANR_6712:4,2L,293196,293500,-,305,79,84,81.5,29.41017819
dsim_GLEANR_6712:3,2L,293582,294760,-,1179,178,174,176,16.43004486
dsim_GLEANR_6712:2,2L,295007,295174,-,168,9,11,10,6.551347026
dsim_GLEANR_6712:1,2L,295245,295413,-,169,21,18,19.5,12.69953424
dsim_GLEANR_6754:1,2L,296078,296115,+,38,2,3,2.5,7.240962503
dsim_GLEANR_6754:2,2L,296182,296569,+,388,7,6,6.5,1.84383272
dsim_GLEANR_6754:3,2L,296900,297381,+,482,4,2,3,0.6850371164
dsim_GLEANR_6754:4,2L,297442,298062,+,621,8,9,8.5,1.506493326
dsim_GLEANR_6754:5,2L,298132,298302,+,171,1,1,1,0.6436411113
dsim_GLEANR_6754:6,2L,298370,299774,+,1405,58,57,57.5,4.50434251
dsim_GLEANR_6711:2,2L,300384,300717,-,334,134,133,133.5,43.99209913
dsim_GLEANR_6711:1,2L,300794,301287,-,494,130,131,130.5,29.07524943
dsim_GLEANR_6710:3,2L,302018,302342,-,325,1426,1384,1405,475.809216
dsim_GLEANR_6710:2,2L,302908,303128,-,221,708,710,709,353.0968538
dsim_GLEANR_6710:1,2L,304477,304668,-,192,41,42,41.5,23.78957889
dsim_GLEANR_6709:1,2L,305471,306979,-,1509,51,47,49,3.573935634
dsim_GLEANR_6708:1,2L,308955,309161,-,207,446,437,441.5,234.7471071
dsim_GLEANR_6755:1,2L,310752,310843,+,92,50,49,49.5,59.21848029
dsim_GLEANR_6755:2,2L,310900,311185,+,286,124,127,125.5,48.29671353
dsim_GLEANR_6707:2,2L,311835,312582,-,748,237,257,247,36.34421072
dsim_GLEANR_6707:1,2L,312651,312694,-,44,31,15,23,57.53273843
dsim_GLEANR_6756:1,2L,313501,313509,+,9,5,7,6,73.37508669
dsim_GLEANR_6756:2,2L,313575,313857,+,283,81,103,92,35.78007761
dsim_GLEANR_6756:3,2L,313933,315040,+,1108,737,733,735,73.01086018
dsim_GLEANR_6756:4,2L,315181,315253,+,73,103,113,108,162.8323842
dsim_GLEANR_6757:1,2L,317292,318148,+,857,17,14,15.5,1.990630998
dsim_GLEANR_6757:2,2L,320239,320872,+,634,26,29,27.5,4.774009978
dsim_GLEANR_6758:1,2L,337576,337668,+,93,0,0,0,0
dsim_GLEANR_6706:1,2L,337972,338787,-,816,103,102,102.5,13.82526909
dsim_GLEANR_6705:1,2L,340044,340877,-,834,82,76,79,10.42559685
dsim_GLEANR_6758:2,2L,345447,345593,+,147,1,2,1.5,1.123088062
dsim_GLEANR_6704:2,2L,345469,345788,-,320,4,7,5.5,1.891701454
dsim_GLEANR_6704:1,2L,348356,349388,-,1033,192,181,186.5,19.8709395
dsim_GLEANR_6703:1,2L,349722,351839,-,2118,333,331,332,17.25249914
dsim_GLEANR_6758:3,2L,353799,353936,+,138,0,0,0,0
dsim_GLEANR_6758:4,2L,355128,355261,+,134,0,0,0,0
dsim_GLEANR_6758:5,2L,355717,355902,+,186,0,1,0.5,0.2958672851
dsim_GLEANR_6758:6,2L,356021,356218,+,198,3,0,1.5,0.8338078033
dsim_GLEANR_6758:7,2L,356687,356869,+,183,1,2,1.5,0.9021527052
dsim_GLEANR_6758:8,2L,357600,357780,+,181,2,1,1.5,0.9121212434
dsim_GLEANR_6758:9,2L,358737,358971,+,235,2,4,3,1.405054852
dsim_GLEANR_6758:10,2L,360261,360406,+,146,5,8,6.5,4.900048598
dsim_GLEANR_6758:11,2L,362173,362386,+,214,5,4,4.5,2.314401099
dsim_GLEANR_6758:12,2L,362447,363310,+,864,44,49,46.5,5.923509603
dsim_GLEANR_6758:13,2L,363615,364080,+,466,61,56,58.5,13.81687523
dsim_GLEANR_6758:14,2L,364146,364538,+,393,70,68,69,19.32397321
dsim_GLEANR_6758:15,2L,364600,364744,+,145,17,30,23.5,17.83773659
dsim_GLEANR_6758:16,2L,364806,365039,+,234,69,79,74,34.80613087
dsim_GLEANR_6702:4,2L,368121,368515,-,395,287,260,273.5,76.20792232
dsim_GLEANR_6702:3,2L,368570,369040,-,471,153,154,153.5,35.86966818
dsim_GLEANR_6702:2,2L,369094,369394,-,301,76,90,83,30.34949599
dsim_GLEANR_6702:1,2L,369631,369894,-,264,114,101,107.5,44.81716943
dsim_GLEANR_6759:1,2L,389832,390125,+,294,0,1,0.5,0.1871813436
dsim_GLEANR_6760:1,2L,390958,391301,+,344,52,49,50.5,16.15745005
dsim_GLEANR_6760:2,2L,392120,392165,+,46,0,0,0,0
dsim_GLEANR_6760:3,2L,392725,392993,+,269,39,27,33,13.50210703
dsim_GLEANR_6760:4,2L,393132,393705,+,574,151,156,153.5,29.43312493
dsim_GLEANR_6701:5,2L,403348,405432,-,2085,817,805,811,42.81093188
dsim_GLEANR_6701:4,2L,406369,406989,-,621,30,33,31.5,5.582887031
dsim_GLEANR_6701:3,2L,407048,407192,-,145,1,1,1,0.759052621
dsim_GLEANR_6701:2,2L,407245,407462,-,218,3,3,3,1.514623349
dsim_GLEANR_6701:1,2L,407527,408183,-,657,22,22,22,3.685506638
dsim_GLEANR_6761:1,2L,410807,410896,+,90,0,0,0,0
dsim_GLEANR_6761:2,2L,410959,412458,+,1500,2,2,2,0.1467501734
dsim_GLEANR_6761:3,2L,412516,414315,+,1800,70,73,71.5,4.371932249
dsim_GLEANR_6700:8,2L,415811,415888,-,78,96,93,94.5,133.3451095
dsim_GLEANR_6700:7,2L,415948,416152,-,205,117,122,119.5,64.15845995
dsim_GLEANR_6700:6,2L,416206,416489,-,284,153,129,141,54.64377055
dsim_GLEANR_6700:5,2L,416543,417476,-,934,260,249,254.5,29.99029908
dsim_GLEANR_6700:4,2L,417534,418123,-,590,46,38,42,7.834966884
dsim_GLEANR_6700:3,2L,418179,418634,-,456,14,20,17,4.103212085
dsim_GLEANR_6700:2,2L,418841,419052,-,212,7,5,6,3.114980095
dsim_GLEANR_6700:1,2L,419761,419824,-,64,7,9,8,13.75782875
dsim_GLEANR_6762:1,2L,421891,421948,+,58,2,4,3,5.692894657
dsim_GLEANR_6762:2,2L,422014,423212,+,1199,161,154,157.5,14.45776833
dsim_GLEANR_6762:3,2L,423291,424136,+,846,327,301,314,40.85066883
dsim_GLEANR_6699:1,2L,425044,426087,-,1044,4,5,4.5,0.4744078881
dsim_GLEANR_6763:1,2L,426559,426630,+,72,1691,1654,1672.5,2556.663177
dsim_GLEANR_6763:2,2L,426782,427048,+,267,4590,4878,4734,1951.44753
dsim_GLEANR_6698:1,2L,427426,427851,-,426,213,214,213.5,55.16049651
dsim_GLEANR_6764:1,2L,428270,428658,+,389,92,89,90.5,25.60583038
dsim_GLEANR_6764:2,2L,428713,428905,+,193,55,54,54.5,31.07986185
dsim_GLEANR_6765:1,2L,429990,430383,+,394,79,74,76.5,21.37002842
dsim_GLEANR_6765:2,2L,430448,431295,+,848,234,225,229.5,29.78699716
dsim_GLEANR_6765:3,2L,431358,431546,+,189,37,35,36,20.96431048
dsim_GLEANR_6765:4,2L,431603,431821,+,219,73,83,78,39.20038878
dsim_GLEANR_6766:1,2L,444915,445006,+,92,0,0,0,0
dsim_GLEANR_6766:2,2L,445072,445217,+,146,0,0,0,0
dsim_GLEANR_6766:3,2L,450006,450085,+,80,0,0,0,0
dsim_GLEANR_6766:4,2L,450150,453510,+,3361,90,98,94,3.078216966
dsim_GLEANR_6766:5,2L,453572,454167,+,596,144,151,147.5,27.23865425
dsim_GLEANR_6697:4,2L,455903,456052,-,150,336,325,330.5,242.5046615
dsim_GLEANR_6697:3,2L,456112,456202,-,91,3,1,2,2.418958902
dsim_GLEANR_6697:2,2L,456313,457418,-,1106,1247,1240,1243.5,123.7458232
dsim_GLEANR_6697:1,2L,457545,457673,-,129,106,110,108,92.14545771
dsim_GLEANR_6767:1,2L,460776,461487,+,712,719,692,705.5,109.0578448
dsim_GLEANR_6767:2,2L,461554,461609,+,56,84,72,78,153.3015204
dsim_GLEANR_6768:1,2L,462363,462389,+,27,5,0,2.5,10.19098426
dsim_GLEANR_6768:2,2L,462648,462785,+,138,6,10,8,6.380442321
dsim_GLEANR_6768:3,2L,462851,463030,+,180,22,13,17.5,10.70053348
dsim_GLEANR_6768:4,2L,463108,463298,+,191,23,28,25.5,14.69422548
dsim_GLEANR_6768:5,2L,463362,463903,+,542,94,93,93.5,18.98681902
dsim_GLEANR_6768:6,2L,463965,464127,+,163,18,29,23.5,15.86792519
dsim_GLEANR_6768:7,2L,464193,464955,+,763,289,260,274.5,39.59658184
dsim_GLEANR_6696:1,2L,466995,468596,-,1602,301,286,293.5,20.16440819
dsim_GLEANR_6695:2,2L,468899,471510,-,2612,15,13,14,0.5899222131
dsim_GLEANR_6695:1,2L,472080,472119,-,40,0,0,0,0
dsim_GLEANR_6769:1,2L,479497,479549,+,53,10,5,7.5,15.57490048
dsim_GLEANR_6769:2,2L,479603,480374,+,772,108,99,103.5,14.75580597
dsim_GLEANR_6769:3,2L,480434,481145,+,712,121,132,126.5,19.55466671
dsim_GLEANR_6769:4,2L,481398,481540,+,143,20,17,18.5,14.23887172
dsim_GLEANR_6769:5,2L,481595,482164,+,570,192,195,193.5,37.36336651
dsim_GLEANR_6694:2,2L,483357,484574,-,1218,1152,1171,1161.5,104.9570975
dsim_GLEANR_6694:1,2L,485808,485876,-,69,62,65,63.5,101.2895218
dsim_GLEANR_6770:1,2L,544159,544217,+,59,0,0,0,0
dsim_GLEANR_6770:2,2L,546349,547735,+,1387,56,57,56.5,4.483445276
dsim_GLEANR_6770:3,2L,547796,547938,+,143,5,8,6.5,5.00284682
dsim_GLEANR_6770:4,2L,548003,548441,+,439,47,44,45.5,11.40740243
dsim_GLEANR_6693:1,2L,550261,550740,-,480,1062,1036,1049,240.5327061
dsim_GLEANR_6692:4,2L,553177,553285,-,109,96,99,97.5,98.4505177
dsim_GLEANR_6692:3,2L,553347,554040,-,694,356,334,345,54.71413165
dsim_GLEANR_6692:2,2L,554087,554198,-,112,37,35,36,35.37727394
dsim_GLEANR_6692:1,2L,554265,554474,-,210,83,88,85.5,44.81121366
dsim_GLEANR_6771:1,2L,555017,555128,+,112,31,40,35.5,34.88592291
dsim_GLEANR_6771:2,2L,555193,555425,+,233,62,67,64.5,30.46798128
dsim_GLEANR_6691:4,2L,561633,561970,-,338,125,136,130.5,42.49459533
dsim_GLEANR_6691:3,2L,565408,565568,-,161,1,3,2,1.36723764
dsim_GLEANR_6691:2,2L,565634,566232,-,599,6,6,6,1.10246374
dsim_GLEANR_6691:1,2L,566298,566444,-,147,0,0,0,0
dsim_GLEANR_6772:1,2L,567335,567673,+,339,904,857,880.5,285.8706364
dsim_GLEANR_6772:2,2L,567733,567951,+,219,783,765,774,388.9884733
dsim_GLEANR_6690:3,2L,568426,569621,-,1196,141,135,138,12.69953424
dsim_GLEANR_6690:2,2L,569781,570510,-,730,38,33,35.5,5.352360776
dsim_GLEANR_6690:1,2L,571015,571050,-,36,3,4,3.5,10.70053348
dsim_GLEANR_6773:1,2L,572139,574241,+,2103,159,154,156.5,8.19058564
dsim_GLEANR_6689:4,2L,574337,574349,-,13,3,4,3.5,29.63224655
dsim_GLEANR_6689:3,2L,574406,574532,-,127,7,2,4.5,3.89985697
dsim_GLEANR_6689:2,2L,574588,574938,-,351,54,50,52,16.30557482
dsim_GLEANR_6689:1,2L,574995,575955,-,961,109,98,103.5,11.85377961
dsim_GLEANR_6775:1,2L,579736,579793,+,58,14,19,16.5,31.31092061
dsim_GLEANR_6775:2,2L,579875,580185,+,311,181,171,176,62.28624722
dsim_GLEANR_6775:3,2L,580239,580331,+,93,93,93,93,110.06263
dsim_GLEANR_6688:3,2L,580960,581205,-,246,0,0,0,0
dsim_GLEANR_6688:2,2L,581264,581587,-,324,1,1,1,0.3396994754
dsim_GLEANR_6688:1,2L,581697,581783,-,87,2,2,2,2.530175403
dsim_GLEANR_6776:1,2L,583446,583486,+,41,1,1,1,2.684454391
dsim_GLEANR_6776:2,2L,583604,583869,+,266,6,12,9,3.723923573
dsim_GLEANR_6776:3,2L,583932,584692,+,761,37,43,40,5.785157952
dsim_GLEANR_6687:3,2L,589837,590103,-,267,2,1,1.5,0.6183293822
dsim_GLEANR_6687:2,2L,598715,599076,-,362,1,1,1,0.3040404145
dsim_GLEANR_6687:1,2L,600041,600125,-,85,0,0,0,0
dsim_GLEANR_6686:2,2L,600218,600848,-,631,2,2,2,0.3488514423
dsim_GLEANR_6686:1,2L,608122,608159,-,38,0,0,0,0
dsim_GLEANR_6777:1,2L,609178,609313,+,136,16,12,14,11.32997662
dsim_GLEANR_6777:2,2L,609379,609644,+,266,49,60,54.5,22.55042608
dsim_GLEANR_6685:2,2L,626695,627398,-,704,1,1,1,0.1563389631
dsim_GLEANR_6685:1,2L,627695,627764,-,70,0,0,0,0
dsim_GLEANR_6778:1,2L,629928,630104,+,177,0,0,0,0
dsim_GLEANR_6779:1,2L,631251,632060,+,810,5,3,4,0.5435191607
dsim_GLEANR_6780:1,2L,632270,634621,+,2352,3,3,3,0.1403860077
dsim_GLEANR_6684:13,2L,646591,646602,-,12,19,9,14,128.4064017
dsim_GLEANR_6684:12,2L,648752,650490,-,1739,25,20,22.5,1.424042079
dsim_GLEANR_6684:11,2L,650622,651901,-,1280,0,0,0,0
dsim_GLEANR_6684:10,2L,654178,654550,-,373,0,0,0,0
dsim_GLEANR_6684:9,2L,654674,655081,-,408,0,1,0.5,0.1348806741
dsim_GLEANR_6684:8,2L,655186,655954,-,769,0,0,0,0
dsim_GLEANR_6684:7,2L,656090,656448,-,359,0,0,0,0
dsim_GLEANR_6684:6,2L,661875,661932,-,58,0,0,0,0
dsim_GLEANR_6684:5,2L,663696,664198,-,503,2,2,2,0.4376247715
dsim_GLEANR_6684:4,2L,665178,665631,-,454,0,0,0,0
dsim_GLEANR_6684:3,2L,666217,666809,-,593,0,0,0,0
dsim_GLEANR_6684:2,2L,667654,668326,-,673,0,1,0.5,0.08177015605
dsim_GLEANR_6684:1,2L,707685,709580,-,1896,3,4,3.5,0.2031746863
dsim_GLEANR_6781:1,2L,730081,732036,+,1956,597,570,583.5,32.83310053
dsim_GLEANR_6683:6,2L,739617,739805,-,189,877,873,875,509.5492131
dsim_GLEANR_6683:5,2L,739862,739976,-,115,134,162,148,141.6458195
dsim_GLEANR_6683:4,2L,740048,740377,-,330,1025,968,996.5,332.3557904
dsim_GLEANR_6683:3,2L,740966,741535,-,570,1022,1025,1023.5,197.6300032
dsim_GLEANR_6683:2,2L,741850,742183,-,334,448,402,425,140.0497538
