Geneid,Chr,Start,End,Strand,Length,raw_count_1,raw_count_2,raw_count,FPKM
bcd,scaffold_6;scaffold_6;scaffold_6;scaffold_6,2673741;2674408;2675410;2676028,2674025;2675354;2675485;2676174,-;-;-;-,1455,0,0,0,0
ms(3)K81,scaffold_13,1475049,1475600,+,552,3,1,2,0.1851768837
DnaJ-1,scaffold_2;scaffold_2,5680593;5681223,5681177;5681651,-;-,1014,19168,18779,18973.5,956.3246493
nos,scaffold_25;scaffold_25;scaffold_25,775527;775850;776882,775790;776316;777365,-;-;-,1215,0,0,0,0
FBgn0043636,scaffold_4;scaffold_4;scaffold_4;scaffold_4,4709907;4710058;4710240;4710460,4709996;4710182;4710395;4710511,-;-;-;-,423,78,82,80,9.665970667
Mlc1,scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22,127068;127457;127604;128904;129086,127111;127543;127909;128931;129088,-;-;-;-;-,468,17522,17143,17332.5,1892.82825
RpS18,scaffold_1;scaffold_1;scaffold_1,13717737;13717876;13718122,13717739;13718061;13718391,+;+;+,459,11746,11370,11558,1286.962397
Amyrel,scaffold_1;scaffold_1,10036691;10037576,10037518;10038229,-;-,1482,2,2,2,0.0689727664
Obp57d,scaffold_1;scaffold_1,13990528;13990917,13990863;13990988,-;-,408,12,12,12,1.503200585
Yp2,scaffold_15;scaffold_15;scaffold_15,661490;662339;662651,662286;662584;662936,-;-;-,1329,113,109,111,4.268682475
FBgn0012783,scaffold_1;scaffold_1,10516643;10517287,10517257;10518129,-;-,1458,269,424,346.5,12.14623189
rux,scaffold_4;scaffold_4,834498;834610,834519;835637,+;+,1050,307,313,310,15.08927064
Pros28.1B,scaffold_23;scaffold_23;scaffold_23,261417;262024;262325,261843;262253;262426,-;-;-,759,23,27,25,1.683426216
CG10444,scaffold_1;scaffold_1,13725945;13726784,13726726;13727765,-;-,1764,437,433,435,12.60336545
FBgn0043635,scaffold_4;scaffold_4;scaffold_4,4708975;4709134;4709313,4709085;4709258;4709523,-;-;-,447,407,393,400,45.73496188
y,scaffold_10;scaffold_10;scaffold_10,113312;115876;116967,113549;116621;117263,+;+;+,1281,1,1,1,0.03989759555
plu,scaffold_1;scaffold_1;scaffold_1,13716658;13716818;13717277,13716761;13717222;13717292,-;-;-,525,1,0,0.5,0.04867506657
bap,scaffold_6;scaffold_6,4274056;4274881,4274759;4275325,-;-,1149,1,1,1,0.04448113133
FBgn0043404,scaffold_5;scaffold_5;scaffold_5;scaffold_5;scaffold_5;scaffold_5;scaffold_5;scaffold_5,5554983;5633422;5633643;5634164;5636434;5638286;5651804;5652278,5555263;5633569;5633843;5634991;5636688;5638418;5652004;5652441,+;+;+;+;+;+;+;+,2211,121,125,123,2.843231501
Adh,scaffold_3;scaffold_3;scaffold_3,890026;890192;890663,890124;890596;890929,+;+;+,771,23679,22849,23264,1542.147323
Adhr,scaffold_3;scaffold_3;scaffold_3,891226;891751;892208,891321;892155;892525,+;+;+,819,12,13,12.5,0.7800491438
Cdc37,scaffold_2;scaffold_2;scaffold_2;scaffold_2,1821883;1821976;1822381;1823105,1821915;1822179;1823040;1823377,+;+;+;+,1170,1184,1161,1172.5,51.21802678
janA,scaffold_4;scaffold_4;scaffold_4,4710736;4710935;4711118,4710828;4711059;4711259,-;-;-,360,466,444,455,64.5958696
FBgn0012782,scaffold_1;scaffold_1,10528109;10528779,10528714;10529597,+;+,1425,65,59,62,2.223681989
FBgn0082413,scaffold_0;scaffold_0;scaffold_0,13207470;13208278;13208560,13207794;13208494;13208686,-;-;-,669,19,23,21,1.604312732
Sry-alpha,scaffold_4,4713135,4714724,+,1590,75,73,74,2.37864948
FBgn0084980,scaffold_1;scaffold_1,2157603;2158250,2158179;2158752,-;-,1080,247,249,248,11.73609939
FBgn0025050,scaffold_0;scaffold_0;scaffold_0;scaffold_0,19481816;19481946;19482167;19484477,19481879;19482103;19483131;19485173,-;-;-;-,1884,609,627,618,16.76499506
FBgn0024403,scaffold_0,17333934,17336207,+,2274,10,14,12,0.2697035351
FBgn0068720,scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30,442759;445374;448197;449515;450874;454872;455202;456654;457696,442867;445553;448362;449695;451528;455045;455477;457008;458299,+;+;+;+;+;+;+;+;+,2700,79,87,83,1.571122982
CG16868,scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1,13735676;13737805;13738443;13739173;13739993,13737738;13738386;13739117;13739932;13740259,-;-;-;-;-,4347,334,324,329,3.868139349
CG11099,scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1,13690393;13690782;13691044;13691451;13692023,13690723;13690964;13691191;13691762;13692185,+;+;+;+;+,1137,248,260,254,11.41744965
FBgn0069538,scaffold_0;scaffold_0,691618;693244,693191;693649,-;-,1980,571,546,558.5,14.41630097
CG9090,scaffold_1;scaffold_1;scaffold_1,13732689;13732927;13733758,13732855;13733691;13733950,-;-;-,1125,8929,8689,8809,400.1934174
FBgn0069537,scaffold_463;scaffold_463,260;1040,383;2313,-;-,1398,2,2,2,0.07311705279
GstD1,scaffold_0,13753265,13753894,+,630,13527,12924,13225.5,1072.920155
ftz,scaffold_6;scaffold_6,2781323;2782227,2782079;2782711,+;+,1242,0,0,0,0
ST6Gal,scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23,444490;444724;444912;445254;445560;446175,444660;444821;445191;445351;446102;446340,-;-;-;-;-;-,1356,654,649,651.5,24.55560189
qjt,scaffold_0,9525355,9526056,+,702,5,7,6,0.4368275205
sip1,scaffold_5;scaffold_5;scaffold_5,3800189;3800349;3802692,3800297;3802627;3802823,+;+;+,2520,140,140,140,2.839378883
cngl,scaffold_56;scaffold_56,186761;189575,187289;189852,-;-,807,0,0,0,0
FBgn0164992,scaffold_56;scaffold_56;scaffold_56,122120;122707;122843,122612;122783;123601,-;-;-,1329,1070,1041,1055.5,40.59094011
spict,scaffold_16;scaffold_16,889047;889912,889347;890768,+;+,1158,1243,1208,1225.5,54.08796096
FBgn0164994,scaffold_25;scaffold_25;scaffold_25;scaffold_25;scaffold_25,772652;772846;773126;773706;774223,772774;773034;773532;774160;774653,+;+;+;+;+,1605,1260,1222,1241,39.51778536
CG11779,scaffold_25;scaffold_25;scaffold_25;scaffold_25,775154;778349;778493;779098,775246;778429;779030;779762,+;+;+;+,1377,775,763,769,28.54225309
CG5835,scaffold_25;scaffold_25;scaffold_25;scaffold_25,781378;783198;785171;785642,781441;783325;785568;785765,+;+;+;+,714,845,845,845,60.48592832
Ppcs,scaffold_25;scaffold_25;scaffold_25;scaffold_25;scaffold_25,787494;788871;792422;792677;793024,787619;789314;792607;792814;793071,+;+;+;+;+,942,158,154,156,8.463881003
FBgn0164998,scaffold_25,793081,793251,+,171,21,25,23,6.874285718
CG6180,scaffold_16,892311,892847,+,537,1882,1810,1846,175.6925168
FBgn0165000,scaffold_12169,283,624,-,342,0,0,0,0
FBgn0165001,scaffold_39;scaffold_39,335170;335845,335780;335908,-;-,675,559,562,560.5,42.43924971
FBgn0165002,scaffold_39;scaffold_39;scaffold_39,330101;330773;332344,330536;331314;332364,-;-;-,999,1520,1498,1509,77.20040964
FBgn0165003,scaffold_39;scaffold_39,318497;320190,319773;321465,-;-,2553,21,17,19,0.3803633287
MRP,scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16,906794;906921;908569;908835;909128;910023;910169;911056;912268;913256;914034;914288;914948;915475;915971;916310;916835;917396;917678;918242;918688,906847;908432;908706;908981;909274;910107;910988;911426;912474;913462;914254;914306;915171;915645;916216;916349;917055;917613;918184;918623;918879,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,6129,8780,8594,8687,72.43960165
FBgn0165005,scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39,308084;308299;311239;311480;311951;312026;314219,308228;308509;311420;311731;311976;313215;315728,-;-;-;-;-;-;-,3516,1394,1309,1351.5,19.64549775
FBgn0165006,scaffold_39;scaffold_39,290730;291008,290897;291277,-;-,438,182,179,180.5,21.06196802
FBgn0165007,scaffold_39;scaffold_39,284495;285873,284662;286448,-;-,744,9150,8985,9067.5,622.8887426
fog,scaffold_39,182423,184597,-,2175,758,754,756,17.76472085
FBgn0165009,scaffold_39,172248,174335,-,2088,2,1,1.5,0.03671610625
FBgn0165010,scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16,993246;1015035;1015717;1016409;1063675,993308;1015197;1015830;1016514;1063930,+;+;+;+;+,702,1,1,1,0.07280458676
FBgn0165011,scaffold_39,229710,229868,+,159,1,1,1,0.3214391189
FBgn0165012,scaffold_39,232847,234970,+,2124,1,1,1,0.02406253291
FBgn0165013,scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39,235259;236577;237232;239439;239777;240726,235297;237166;239389;239499;240267;241769,+;+;+;+;+;+,4383,22,22,22,0.2565352585
FBgn0165014,scaffold_39,278290,278661,+,372,6,6,6,0.8243358049
FBgn0165015,scaffold_39;scaffold_39;scaffold_39,336359;336596;337220,336458;336885;337630,+;+;+,801,593,570,581.5,37.10334429
FBgn0165016,scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16,1074437;1074596;1074793;1075014;1075860;1076020;1076483;1076986;1077406;1077566;1077775;1078030,1074547;1074736;1074952;1075797;1075960;1076359;1076933;1077347;1077500;1077717;1077919;1078580,+;+;+;+;+;+;+;+;+;+;+;+,3393,41,42,41.5,0.6251152449
FBgn0165017,scaffold_1640;scaffold_1640,1539;1719,1652;1787,-;-,183,2,3,2.5,0.6982079222
FBgn0165018,scaffold_1640;scaffold_1640,83;192,120;714,+;+,561,0,0,0,0
FBgn0165019,scaffold_3225;scaffold_3225,1945;2489,2429;2612,-;-,609,0,13,6.5,0.5454964357
FBgn0165020,scaffold_13767,358,687,-,330,0,0,0,0
FBgn0165021,scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16,1078741;1078881;1079079;1079294;1080158;1080312;1080715;1081221;1081641;1081803;1082009;1082220,1078833;1079021;1079238;1080077;1080258;1080657;1081162;1081582;1081735;1081954;1082147;1082752,+;+;+;+;+;+;+;+;+;+;+;+,3354,2,3,2.5,0.0380954233
CG42254,scaffold_70,28496,28663,-,168,4,3,3.5,1.064767081
FBgn0165024,scaffold_70;scaffold_70;scaffold_70;scaffold_70,101495;101710;101913;102959,101656;101833;102134;103038,+;+;+;+,588,0,0,0,0
FBgn0165025,scaffold_70;scaffold_70,129560;130509,129742;130775,+;+,450,0,0,0,0
FBgn0165026,scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16,1083001;1083154;1083350;1083675;1084594;1084749;1085176;1085689,1083102;1083294;1083509;1084455;1084694;1085094;1085626;1085874,+;+;+;+;+;+;+;+,2268,3,3,3,0.06760425913
FBgn0165027,scaffold_6714;scaffold_6714,1101;1636,1177;1744,-;-,186,0,0,0,0
FBgn0165028,scaffold_13567,21,623,-,603,43,40,41.5,3.517439512
FBgn0165029,scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16,1087544;1087677;1087973;1088191;1089027;1089187;1089608;1090126;1090543;1090701;1090919;1091112,1087615;1087817;1088132;1088962;1089127;1089544;1090061;1090487;1090637;1090852;1091054;1091680,+;+;+;+;+;+;+;+;+;+;+;+,3372,4,4,4,0.06062730712
FBgn0165030,scaffold_389,3657,3995,-,339,0,0,0,0
FBgn0165031,scaffold_389,4222,4593,+,372,0,0,0,0
FBgn0165032,scaffold_229;scaffold_229;scaffold_229;scaffold_229;scaffold_229;scaffold_229,7002;7288;10432;11336;11605;11756,7231;7365;10678;11554;11697;11983,+;+;+;+;+;+,1095,8660,8532,8596,401.2159049
CG16800,scaffold_16;scaffold_16,1121494;1121815,1121649;1122507,+;+,849,0,0,0,0
FBgn0165034,scaffold_161,8836,9579,+,744,21,20,20.5,1.408240333
FBgn0165035,scaffold_161;scaffold_161;scaffold_161,10504;11682;11867,10710;11804;12304,+;+;+,768,0,0,0,0
FBgn0165036,scaffold_16;scaffold_16;scaffold_16;scaffold_16,1130211;1130644;1131450;1132495,1130286;1131341;1132427;1132587,+;+;+;+,1845,53305,51429,52367,1450.631746
FBgn0165037,scaffold_161;scaffold_161,15982;16161,16098;17147,+;+,1104,5,2,3.5,0.1620297732
FBgn0165038,scaffold_6891,120,434,+,315,1,0,0.5,0.08112511096
FBgn0165039,scaffold_16;scaffold_16,1133439;1134682,1134587;1135764,+;+,2232,70,65,67.5,1.545629634
FBgn0165040,scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16,1160190;1160471;1160862;1161812;1162602,1160415;1160691;1161428;1162545;1162899,+;+;+;+;+,2046,53,50,51.5,1.286463453
FBgn0165041,scaffold_12414;scaffold_12414,20;718,649;1008,+;+,921,1,1,1,0.05549274691
FBgn0165042,scaffold_953;scaffold_953;scaffold_953;scaffold_953,104;189;1406;1785,127;743;1576;2423,-;-;-;-,1389,0,0,0,0
FBgn0165043,scaffold_953,2494,2763,+,270,0,0,0,0
FBgn0165044,scaffold_953,7624,8010,+,387,1,0,0.5,0.06603206706
FBgn0165045,scaffold_16;scaffold_16,1164450;1164698,1164638;1165873,+;+,1365,74,79,76.5,2.864340456
FBgn0165046,scaffold_953;scaffold_953;scaffold_953,8574;8906;9150,8847;9096;9191,+;+;+,507,0,0,0,0
FBgn0165047,scaffold_953;scaffold_953,9565;9800,9751;10785,+;+,1173,1,0,0.5,0.02178551573
FBgn0165048,scaffold_69,73661,73906,-,246,7,6,6.5,1.350436298
FBgn0165049,scaffold_69,15195,16322,+,1128,0,0,0,0
FBgn0165050,scaffold_69,16443,16733,+,291,0,0,0,0
FBgn0165051,scaffold_16;scaffold_16,1166895;1167305,1167239;1168471,+;+,1512,843,818,830.5,28.0726686
FBgn0165052,scaffold_69,20102,20521,+,420,0,0,0,0
FBgn0165053,scaffold_69;scaffold_69;scaffold_69,75463;77477;102881,75580;77707;103071,+;+;+,540,400,376,388,36.72263356
FBgn0165054,scaffold_16,1226957,1227247,+,291,3,3,3,0.5268950505
CG13972,scaffold_13,2084852,2086165,-,1314,103,104,103.5,4.025694718
CG5402,scaffold_13;scaffold_13,2071223;2071689,2071438;2071937,-;-,465,17,19,18,1.978405932
side,scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13,1945996;1956440;1958971;1960249;1962060;1964315;1965708;1967151;1967534;1968235;1968418;1969669;1987656,1946060;1956614;1959120;1960397;1962198;1964451;1965843;1967320;1967746;1968345;1968632;1969801;1987938,-;-;-;-;-;-;-;-;-;-;-;-;-,2076,107,101,104,2.560364774
FBgn0165058,scaffold_13;scaffold_13,1906201;1915155,1906299;1915208,-;-,153,0,0,0,0
FBgn0165059,scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13,1898678;1900103;1900644;1901017;1901094;1901316,1899260;1900191;1900874;1901043;1901165;1901504,-;-;-;-;-;-,1191,16,14,15,0.6436879081
FBgn0165060,scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13,1874198;1874371;1874734;1875915;1877612;1877846;1881872;1882294;1884126;1884614;1885261;1886075;1886466;1886641;1887382;1888574;1889848;1890876;1891991;1892441;1892916;1893148;1893583;1894972;1895344;1896449;1896637;1897007,1874297;1874565;1875860;1877559;1877778;1877984;1882236;1882770;1884374;1885202;1886016;1886348;1886574;1887181;1888427;1888840;1890819;1891364;1892020;1892713;1893089;1893522;1893759;1895102;1895900;1896552;1896950;1897409,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,12045,4839,4661,4750,20.15499332
CG3348,scaffold_13,1871544,1871840,-,297,37,36,36.5,6.281050257
bigmax,scaffold_13;scaffold_13;scaffold_13,1867366;1867647;1868198,1867587;1868047;1868339,-;-;-,765,917,874,895.5,59.8273833
mrt,scaffold_13;scaffold_13,1857444;1859023,1858948;1859836,-;-,2319,1776,1707,1741.5,38.38120304
CG5142,scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16,1262096;1262198;1262479;1263614;1264105,1262131;1262391;1263480;1263824;1264620,+;+;+;+;+,1959,1591,1528,1559.5,40.68616878
FBgn0165065,scaffold_13;scaffold_13;scaffold_13,1846499;1848752;1851098,1848684;1850347;1851728,-;-;-,4413,953,934,943.5,10.92707264
CG14262,scaffold_13;scaffold_13,1844394;1844707,1844654;1845402,-;-,957,18,17,17.5,0.9345917955
FBgn0165067,scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13,1837510;1837621;1837809;1837995;1838183;1838636;1840003;1842140;1842251;1842580,1837556;1837750;1837930;1838120;1838568;1839711;1841855;1842184;1842511;1843381,-;-;-;-;-;-;-;-;-;-,4848,619,596,607.5,6.40441586
FBgn0165068,scaffold_13;scaffold_13;scaffold_13,1831272;1831854;1832578,1831791;1832519;1832897,-;-;-,1506,250,231,240.5,8.161800257
CG5987,scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13,1828342;1828518;1829120;1829806;1830017;1830366,1828452;1829054;1829752;1829959;1830313;1830790,-;-;-;-;-;-,2157,191,181,186,4.407158323
CG5984,scaffold_13;scaffold_13;scaffold_13,1826820;1827180;1827635,1827115;1827554;1827779,-;-;-,816,62,58,60,3.758001463
CG18766,scaffold_13;scaffold_13;scaffold_13;scaffold_13,1822808;1823351;1823544;1823920,1823288;1823473;1823860;1823925,-;-;-;-,927,1363,1371,1367,75.36759095
FBgn0165072,scaffold_13;scaffold_13,1818348;1818499,1818352;1818874,-;-,381,60,58,59,7.914489171
