Geneid	Chr	Start	End	Strand	Length	D:\class\2023-1\bioinf\finalproject\data\D_sech_taiwan\output\SRR1952772_1_alignment.sam	D:\class\2023-1\bioinf\finalproject\data\D_sech_taiwan\output\SRR1952772_2_alignment.sam
FBgn0021176	scaffold_8;scaffold_8;scaffold_8;scaffold_8	1841731;1844448;1844770;1845079	1841749;1844707;1844987;1846156	+;+;+;+	1575	3673	3494
FBgn0064379	scaffold_3	3889007	3889711	-	705	0	0
FBgn0084258	scaffold_2106	172	2148	+	1977	0	0
FBgn0029259	scaffold_1;scaffold_1	10959941;10960121	10960051;10960219	+;+	210	264	268
FBgn0064372	scaffold_0;scaffold_0	8674907;8675051	8674977;8675090	-;-	111	87	83
FBgn0082766	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13699498;13699692;13699856;13700051;13700845	13699637;13699801;13699973;13700787;13701206	-;-;-;-;-	1467	2	0
FBgn0044208	scaffold_11;scaffold_11;scaffold_11	575326;576762;578949	576531;576839;578960	-;-;-	1296	287	284
FBgn0020083	scaffold_24	163754	164395	+	642	2	1
FBgn0082769	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13729670;13729988;13730227;13730737;13730915	13729928;13730171;13730679;13730856;13732343	-;-;-;-;-	2445	35	34
FBgn0046928	scaffold_4;scaffold_4	4893900;4894069	4893998;4894161	+;+	192	33	36
FBgn0084300	scaffold_3;scaffold_3	3314735;3314940	3314879;3315730	+;+	936	1000	958
FBgn0082767	scaffold_1;scaffold_1	13743214;13743838	13743764;13743946	+;+	660	0	0
FBgn0063998	scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10	2390949;2391107;2391325;2391765;2393377;2393842	2391050;2391258;2391697;2393320;2393580;2394382	-;-;-;-;-;-	2928	185	188
FBgn0069552	scaffold_2	2764719	2765072	+	354	1	1
FBgn0012800	scaffold_10;scaffold_10;scaffold_10;scaffold_10	2444744;2445423;2445762;2446134	2445358;2445554;2446077;2446195	-;-;-;-	1125	8	12
FBgn0082777	scaffold_1;scaffold_1;scaffold_1	13711830;13714258;13714444	13714196;13714383;13714599	+;+;+	2649	753	727
FBgn0013867	scaffold_6;scaffold_6;scaffold_6	3170614;3174893;3175086	3172163;3175013;3175253	-;-;-	1839	279	283
FBgn0026109	scaffold_8;scaffold_8;scaffold_8;scaffold_8	12131;15985;17605;17823	12221;16211;17744;18210	+;+;+;+	846	4	4
FBgn0069546	scaffold_0;scaffold_0	17007184;17008392	17008095;17010392	+;+	2913	2130	2114
FBgn0067538	scaffold_0	20222398	20224305	-	1908	892	882
FBgn0044210	scaffold_1;scaffold_1;scaffold_1	4963014;4963548;4964779	4963262;4963645;4966084	-;-;-	1653	170	168
FBgn0043405	scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24;scaffold_24	198865;199375;199627;199832;201833;205846	199021;199556;199734;200167;201878;205922	-;-;-;-;-;-	906	447	438
FBgn0068721	scaffold_7	2076161	2076553	+	393	0	0
FBgn0082774	scaffold_1;scaffold_1;scaffold_1	13728217;13728314;13729510	13728254;13729453;13729609	+;+;+	1278	33	40
FBgn0025847	scaffold_4;scaffold_4	4887716;4887874	4887811;4887951	+;+	174	0	0
FBgn0082768	scaffold_30;scaffold_30;scaffold_30;scaffold_30	316383;317933;318299;319625	317062;318243;318922;319968	+;+;+;+	1959	511	508
FBgn0025055	scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0;scaffold_0	1844529;1845039;1845238;1845434;1846469;1846947;1849591;1849985;1850347	1844723;1845172;1845365;1846048;1846880;1849532;1849927;1850285;1850558	+;+;+;+;+;+;+;+;+	4920	681	650
FBgn0012799	scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10;scaffold_10	2343390;2343785;2344003;2345097;2345516;2347279;2347592;2347776	2343416;2343933;2345036;2345453;2347212;2347514;2347718;2347847	+;+;+;+;+;+;+;+	3699	604	584
FBgn0082771	scaffold_1;scaffold_1;scaffold_1	13742404;13742660;13745339	13742616;13743046;13745344	-;-;-	606	3	3
FBgn0025053	scaffold_2;scaffold_2;scaffold_2;scaffold_2;scaffold_2	4576552;4577228;4577603;4577962;4580020	4577166;4577535;4577856;4578178;4580284	-;-;-;-;-	1659	81	82
FBgn0025057	scaffold_12;scaffold_12;scaffold_12	872341;872527;872780	872449;872555;872935	+;+;+	294	9	9
FBgn0069548	scaffold_27	161473	162228	+	756	4	4
FBgn0025045	scaffold_2;scaffold_2;scaffold_2;scaffold_2	1500971;1501622;1502646;1503193	1500976;1501978;1503063;1503506	+;+;+;+	1095	455	447
FBgn0025059	scaffold_19;scaffold_19;scaffold_19	780057;783584;784626	780113;784504;785168	+;+;+	1521	1508	1447
FBgn0066172	scaffold_15;scaffold_15;scaffold_15;scaffold_15;scaffold_15;scaffold_15	1190121;1190692;1190923;1191097;1192503;1193854	1190632;1190834;1191031;1192101;1193789;1193902	-;-;-;-;-;-	3105	34	31
FBgn0082778	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13693830;13693936;13694610;13695197;13695850	13693880;13694489;13695129;13695718;13696500	+;+;+;+;+	2298	7	7
FBgn0025061	scaffold_12;scaffold_12;scaffold_12;scaffold_12;scaffold_12	1396519;1397913;1398209;1399678;1399949	1397200;1398124;1398410;1399892;1400140	+;+;+;+;+	1503	0	0
FBgn0083480	scaffold_1	9681407	9683944	+	2538	865	840
FBgn0082773	scaffold_1;scaffold_1;scaffold_1;scaffold_1	13692334;13692548;13692967;13693157	13692487;13692903;13693123;13693167	-;-;-;-	678	197	188
FBgn0023645	scaffold_0;scaffold_0	4366819;4368250	4368199;4368497	+;+	1629	5360	5326
FBgn0012791	scaffold_6;scaffold_6;scaffold_6;scaffold_6	2673741;2674408;2675410;2676028	2674025;2675354;2675485;2676174	-;-;-;-	1455	0	0
FBgn0069536	scaffold_13	1475049	1475600	+	552	1	0
FBgn0066173	scaffold_2;scaffold_2	5680593;5681223	5681177;5681651	-;-	1014	4753	4689
FBgn0025051	scaffold_25;scaffold_25;scaffold_25	775527;775850;776882	775790;776316;777365	-;-;-	1215	0	0
FBgn0043636	scaffold_4;scaffold_4;scaffold_4;scaffold_4	4709907;4710058;4710240;4710460	4709996;4710182;4710395;4710511	-;-;-;-	423	9	10
FBgn0015158	scaffold_22;scaffold_22;scaffold_22;scaffold_22;scaffold_22	127068;127457;127604;128904;129086	127111;127543;127909;128931;129088	-;-;-;-;-	468	7885	7656
FBgn0064375	scaffold_1;scaffold_1;scaffold_1	13717737;13717876;13718122	13717739;13718061;13718391	+;+;+	459	6059	5825
FBgn0025060	scaffold_1;scaffold_1	10036691;10037576	10037518;10038229	-;-	1482	1	1
FBgn0084684	scaffold_1;scaffold_1	13990528;13990917	13990863;13990988	-;-	408	4	3
FBgn0012788	scaffold_15;scaffold_15;scaffold_15	661490;662339;662651	662286;662584;662936	-;-;-	1329	72	68
FBgn0012783	scaffold_1;scaffold_1	10516643;10517287	10517257;10518129	-;-	1458	140	160
FBgn0046927	scaffold_4;scaffold_4	834498;834610	834519;835637	+;+	1050	172	163
FBgn0069547	scaffold_23;scaffold_23;scaffold_23	261417;262024;262325	261843;262253;262426	-;-;-	759	0	0
FBgn0082779	scaffold_1;scaffold_1	13725945;13726784	13726726;13727765	-;-	1764	232	229
FBgn0043635	scaffold_4;scaffold_4;scaffold_4	4708975;4709134;4709313	4709085;4709258;4709523	-;-;-	447	0	0
FBgn0014812	scaffold_10;scaffold_10;scaffold_10	113312;115876;116967	113549;116621;117263	+;+;+	1281	0	0
FBgn0064373	scaffold_1;scaffold_1;scaffold_1	13716658;13716818;13717277	13716761;13717222;13717292	-;-;-	525	0	0
FBgn0067536	scaffold_6;scaffold_6	4274056;4274881	4274759;4275325	-;-	1149	0	1
FBgn0043404	scaffold_5;scaffold_5;scaffold_5;scaffold_5;scaffold_5;scaffold_5;scaffold_5;scaffold_5	5554983;5633422;5633643;5634164;5636434;5638286;5651804;5652278	5555263;5633569;5633843;5634991;5636688;5638418;5652004;5652441	+;+;+;+;+;+;+;+	2211	79	69
FBgn0012780	scaffold_3;scaffold_3;scaffold_3	890026;890192;890663	890124;890596;890929	+;+;+	771	12703	12114
FBgn0012781	scaffold_3;scaffold_3;scaffold_3	891226;891751;892208	891321;892155;892525	+;+;+	819	6	6
FBgn0025058	scaffold_2;scaffold_2;scaffold_2;scaffold_2	1821883;1821976;1822381;1823105	1821915;1822179;1823040;1823377	+;+;+;+	1170	638	658
FBgn0043637	scaffold_4;scaffold_4;scaffold_4	4710736;4710935;4711118	4710828;4711059;4711259	-;-;-	360	238	226
FBgn0012782	scaffold_1;scaffold_1	10528109;10528779	10528714;10529597	+;+	1425	20	20
FBgn0082413	scaffold_0;scaffold_0;scaffold_0	13207470;13208278;13208560	13207794;13208494;13208686	-;-;-	669	2	2
FBgn0020088	scaffold_4	4713135	4714724	+	1590	48	48
FBgn0084980	scaffold_1;scaffold_1	2157603;2158250	2158179;2158752	-;-	1080	162	159
FBgn0025050	scaffold_0;scaffold_0;scaffold_0;scaffold_0	19481816;19481946;19482167;19484477	19481879;19482103;19483131;19485173	-;-;-;-	1884	323	328
FBgn0024403	scaffold_0	17333934	17336207	+	2274	19	19
FBgn0068720	scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30;scaffold_30	442759;445374;448197;449515;450874;454872;455202;456654;457696	442867;445553;448362;449695;451528;455045;455477;457008;458299	+;+;+;+;+;+;+;+;+	2700	10	9
FBgn0082772	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13735676;13737805;13738443;13739173;13739993	13737738;13738386;13739117;13739932;13740259	-;-;-;-;-	4347	216	205
FBgn0082776	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	13690393;13690782;13691044;13691451;13692023	13690723;13690964;13691191;13691762;13692185	+;+;+;+;+	1137	143	131
FBgn0069538	scaffold_0;scaffold_0	691618;693244	693191;693649	-;-	1980	405	398
FBgn0082770	scaffold_1;scaffold_1;scaffold_1	13732689;13732927;13733758	13732855;13733691;13733950	-;-;-	1125	3962	3908
FBgn0069537	scaffold_463;scaffold_463	260;1040	383;2313	-;-	1398	0	0
FBgn0012785	scaffold_0	13753265	13753894	+	630	7556	7209
FBgn0044209	scaffold_6;scaffold_6	2781323;2782227	2782079;2782711	+;+	1242	0	0
FBgn0085836	scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23;scaffold_23	444490;444724;444912;445254;445560;446175	444660;444821;445191;445351;446102;446340	-;-;-;-;-;-	1356	308	290
FBgn0085849	scaffold_0	9525355	9526056	+	702	1	0
FBgn0085879	scaffold_5;scaffold_5;scaffold_5	3800189;3800349;3802692	3800297;3802627;3802823	+;+;+	2520	88	79
FBgn0164991	scaffold_56;scaffold_56	186761;189575	187289;189852	-;-	807	6	6
FBgn0164992	scaffold_56;scaffold_56;scaffold_56	122120;122707;122843	122612;122783;123601	-;-;-	1329	519	517
FBgn0164993	scaffold_16;scaffold_16	889047;889912	889347;890768	+;+	1158	639	639
FBgn0164994	scaffold_25;scaffold_25;scaffold_25;scaffold_25;scaffold_25	772652;772846;773126;773706;774223	772774;773034;773532;774160;774653	+;+;+;+;+	1605	612	599
FBgn0164995	scaffold_25;scaffold_25;scaffold_25;scaffold_25	775154;778349;778493;779098	775246;778429;779030;779762	+;+;+;+	1377	433	442
FBgn0164996	scaffold_25;scaffold_25;scaffold_25;scaffold_25	781378;783198;785171;785642	781441;783325;785568;785765	+;+;+;+	714	471	462
FBgn0164997	scaffold_25;scaffold_25;scaffold_25;scaffold_25;scaffold_25	787494;788871;792422;792677;793024	787619;789314;792607;792814;793071	+;+;+;+;+	942	158	141
FBgn0164998	scaffold_25	793081	793251	+	171	38	33
FBgn0164999	scaffold_16	892311	892847	+	537	1072	1047
FBgn0165000	scaffold_12169	283	624	-	342	0	0
FBgn0165001	scaffold_39;scaffold_39	335170;335845	335780;335908	-;-	675	324	316
FBgn0165002	scaffold_39;scaffold_39;scaffold_39	330101;330773;332344	330536;331314;332364	-;-;-	999	884	873
FBgn0165003	scaffold_39;scaffold_39	318497;320190	319773;321465	-;-	2553	152	151
FBgn0165004	scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16	906794;906921;908569;908835;909128;910023;910169;911056;912268;913256;914034;914288;914948;915475;915971;916310;916835;917396;917678;918242;918688	906847;908432;908706;908981;909274;910107;910988;911426;912474;913462;914254;914306;915171;915645;916216;916349;917055;917613;918184;918623;918879	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6129	4914	4761
FBgn0165005	scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39	308084;308299;311239;311480;311951;312026;314219	308228;308509;311420;311731;311976;313215;315728	-;-;-;-;-;-;-	3516	1018	996
FBgn0165006	scaffold_39;scaffold_39	290730;291008	290897;291277	-;-	438	32	30
FBgn0165007	scaffold_39;scaffold_39	284495;285873	284662;286448	-;-	744	6491	6293
FBgn0165008	scaffold_39	182423	184597	-	2175	402	394
FBgn0165009	scaffold_39	172248	174335	-	2088	2	2
FBgn0165010	scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16	993246;1015035;1015717;1016409;1063675	993308;1015197;1015830;1016514;1063930	+;+;+;+;+	702	1	1
FBgn0165011	scaffold_39	229710	229868	+	159	1	0
FBgn0165012	scaffold_39	232847	234970	+	2124	0	0
FBgn0165013	scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39;scaffold_39	235259;236577;237232;239439;239777;240726	235297;237166;239389;239499;240267;241769	+;+;+;+;+;+	4383	23	20
FBgn0165014	scaffold_39	278290	278661	+	372	0	0
FBgn0165015	scaffold_39;scaffold_39;scaffold_39	336359;336596;337220	336458;336885;337630	+;+;+	801	307	290
FBgn0165016	scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16	1074437;1074596;1074793;1075014;1075860;1076020;1076483;1076986;1077406;1077566;1077775;1078030	1074547;1074736;1074952;1075797;1075960;1076359;1076933;1077347;1077500;1077717;1077919;1078580	+;+;+;+;+;+;+;+;+;+;+;+	3393	2	2
FBgn0165017	scaffold_1640;scaffold_1640	1539;1719	1652;1787	-;-	183	1	1
FBgn0165018	scaffold_1640;scaffold_1640	83;192	120;714	+;+	561	0	0
FBgn0165019	scaffold_3225;scaffold_3225	1945;2489	2429;2612	-;-	609	0	0
FBgn0165020	scaffold_13767	358	687	-	330	0	0
FBgn0165021	scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16	1078741;1078881;1079079;1079294;1080158;1080312;1080715;1081221;1081641;1081803;1082009;1082220	1078833;1079021;1079238;1080077;1080258;1080657;1081162;1081582;1081735;1081954;1082147;1082752	+;+;+;+;+;+;+;+;+;+;+;+	3354	0	0
FBgn0165023	scaffold_70	28496	28663	-	168	0	0
FBgn0165024	scaffold_70;scaffold_70;scaffold_70;scaffold_70	101495;101710;101913;102959	101656;101833;102134;103038	+;+;+;+	588	0	0
FBgn0165025	scaffold_70;scaffold_70	129560;130509	129742;130775	+;+	450	2	2
FBgn0165026	scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16	1083001;1083154;1083350;1083675;1084594;1084749;1085176;1085689	1083102;1083294;1083509;1084455;1084694;1085094;1085626;1085874	+;+;+;+;+;+;+;+	2268	0	0
FBgn0165027	scaffold_6714;scaffold_6714	1101;1636	1177;1744	-;-	186	0	0
FBgn0165028	scaffold_13567	21	623	-	603	21	18
FBgn0165029	scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16	1087544;1087677;1087973;1088191;1089027;1089187;1089608;1090126;1090543;1090701;1090919;1091112	1087615;1087817;1088132;1088962;1089127;1089544;1090061;1090487;1090637;1090852;1091054;1091680	+;+;+;+;+;+;+;+;+;+;+;+	3372	1	2
FBgn0165030	scaffold_389	3657	3995	-	339	0	0
FBgn0165031	scaffold_389	4222	4593	+	372	0	0
FBgn0165032	scaffold_229;scaffold_229;scaffold_229;scaffold_229;scaffold_229;scaffold_229	7002;7288;10432;11336;11605;11756	7231;7365;10678;11554;11697;11983	+;+;+;+;+;+	1095	4403	4339
FBgn0165033	scaffold_16;scaffold_16	1121494;1121815	1121649;1122507	+;+	849	0	0
FBgn0165034	scaffold_161	8836	9579	+	744	1	0
FBgn0165035	scaffold_161;scaffold_161;scaffold_161	10504;11682;11867	10710;11804;12304	+;+;+	768	0	0
FBgn0165036	scaffold_16;scaffold_16;scaffold_16;scaffold_16	1130211;1130644;1131450;1132495	1130286;1131341;1132427;1132587	+;+;+;+	1845	31131	30040
FBgn0165037	scaffold_161;scaffold_161	15982;16161	16098;17147	+;+	1104	0	0
FBgn0165038	scaffold_6891	120	434	+	315	0	0
FBgn0165039	scaffold_16;scaffold_16	1133439;1134682	1134587;1135764	+;+	2232	3	3
FBgn0165040	scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16	1160190;1160471;1160862;1161812;1162602	1160415;1160691;1161428;1162545;1162899	+;+;+;+;+	2046	35	34
FBgn0165041	scaffold_12414;scaffold_12414	20;718	649;1008	+;+	921	1	0
FBgn0165042	scaffold_953;scaffold_953;scaffold_953;scaffold_953	104;189;1406;1785	127;743;1576;2423	-;-;-;-	1389	0	0
FBgn0165043	scaffold_953	2494	2763	+	270	0	0
FBgn0165044	scaffold_953	7624	8010	+	387	0	0
FBgn0165045	scaffold_16;scaffold_16	1164450;1164698	1164638;1165873	+;+	1365	58	50
FBgn0165046	scaffold_953;scaffold_953;scaffold_953	8574;8906;9150	8847;9096;9191	+;+;+	507	0	0
FBgn0165047	scaffold_953;scaffold_953	9565;9800	9751;10785	+;+	1173	1	0
FBgn0165048	scaffold_69	73661	73906	-	246	2	1
FBgn0165049	scaffold_69	15195	16322	+	1128	0	0
FBgn0165050	scaffold_69	16443	16733	+	291	0	0
FBgn0165051	scaffold_16;scaffold_16	1166895;1167305	1167239;1168471	+;+	1512	447	437
FBgn0165052	scaffold_69	20102	20521	+	420	0	0
FBgn0165053	scaffold_69;scaffold_69;scaffold_69	75463;77477;102881	75580;77707;103071	+;+;+	540	239	223
FBgn0165054	scaffold_16	1226957	1227247	+	291	3	2
FBgn0165055	scaffold_13	2084852	2086165	-	1314	76	74
FBgn0165056	scaffold_13;scaffold_13	2071223;2071689	2071438;2071937	-;-	465	4	3
FBgn0165057	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1945996;1956440;1958971;1960249;1962060;1964315;1965708;1967151;1967534;1968235;1968418;1969669;1987656	1946060;1956614;1959120;1960397;1962198;1964451;1965843;1967320;1967746;1968345;1968632;1969801;1987938	-;-;-;-;-;-;-;-;-;-;-;-;-	2076	41	48
FBgn0165058	scaffold_13;scaffold_13	1906201;1915155	1906299;1915208	-;-	153	0	0
FBgn0165059	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1898678;1900103;1900644;1901017;1901094;1901316	1899260;1900191;1900874;1901043;1901165;1901504	-;-;-;-;-;-	1191	24	25
FBgn0165060	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1874198;1874371;1874734;1875915;1877612;1877846;1881872;1882294;1884126;1884614;1885261;1886075;1886466;1886641;1887382;1888574;1889848;1890876;1891991;1892441;1892916;1893148;1893583;1894972;1895344;1896449;1896637;1897007	1874297;1874565;1875860;1877559;1877778;1877984;1882236;1882770;1884374;1885202;1886016;1886348;1886574;1887181;1888427;1888840;1890819;1891364;1892020;1892713;1893089;1893522;1893759;1895102;1895900;1896552;1896950;1897409	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	12045	3556	3441
FBgn0165061	scaffold_13	1871544	1871840	-	297	21	20
FBgn0165062	scaffold_13;scaffold_13;scaffold_13	1867366;1867647;1868198	1867587;1868047;1868339	-;-;-	765	476	459
FBgn0165063	scaffold_13;scaffold_13	1857444;1859023	1858948;1859836	-;-	2319	951	936
FBgn0165064	scaffold_16;scaffold_16;scaffold_16;scaffold_16;scaffold_16	1262096;1262198;1262479;1263614;1264105	1262131;1262391;1263480;1263824;1264620	+;+;+;+;+	1959	1080	1061
FBgn0165065	scaffold_13;scaffold_13;scaffold_13	1846499;1848752;1851098	1848684;1850347;1851728	-;-;-	4413	547	529
FBgn0165066	scaffold_13;scaffold_13	1844394;1844707	1844654;1845402	-;-	957	3	2
FBgn0165067	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1837510;1837621;1837809;1837995;1838183;1838636;1840003;1842140;1842251;1842580	1837556;1837750;1837930;1838120;1838568;1839711;1841855;1842184;1842511;1843381	-;-;-;-;-;-;-;-;-;-	4848	389	363
FBgn0165068	scaffold_13;scaffold_13;scaffold_13	1831272;1831854;1832578	1831791;1832519;1832897	-;-;-	1506	140	124
FBgn0165069	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1828342;1828518;1829120;1829806;1830017;1830366	1828452;1829054;1829752;1829959;1830313;1830790	-;-;-;-;-;-	2157	80	74
FBgn0165070	scaffold_13;scaffold_13;scaffold_13	1826820;1827180;1827635	1827115;1827554;1827779	-;-;-	816	22	18
FBgn0165071	scaffold_13;scaffold_13;scaffold_13;scaffold_13	1822808;1823351;1823544;1823920	1823288;1823473;1823860;1823925	-;-;-;-	927	876	846
FBgn0165072	scaffold_13;scaffold_13	1818348;1818499	1818352;1818874	-;-	381	30	41
FBgn0165073	scaffold_13;scaffold_13	1813315;1816917	1813721;1817874	-;-	1365	95	128
FBgn0165074	scaffold_13;scaffold_13;scaffold_13	1809872;1810614;1810771	1810499;1810711;1810899	-;-;-	855	147	133
FBgn0165075	scaffold_16;scaffold_16;scaffold_16	1274056;1275101;1276856	1274284;1275193;1276962	+;+;+	429	7	7
FBgn0165076	scaffold_13;scaffold_13;scaffold_13	1807782;1808141;1808812	1808016;1808545;1809386	-;-;-	1215	535	533
FBgn0165078	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1753830;1754693;1755405;1757005;1757165;1757659;1759674;1760254;1760563;1763834;1764644;1768327;1768920;1772086	1754585;1755300;1755776;1757100;1757359;1758387;1759917;1760429;1760696;1764149;1764698;1768514;1769037;1772331	-;-;-;-;-;-;-;-;-;-;-;-;-;-	4233	17	17
FBgn0165079	scaffold_13;scaffold_13	1746095;1746314	1746252;1746410	-;-	255	58	48
FBgn0165080	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1714346;1715414;1716542;1717344;1717881	1715324;1716471;1717282;1717484;1717889	-;-;-;-;-	2928	2059	1997
FBgn0165081	scaffold_13;scaffold_13;scaffold_13;scaffold_13	1710441;1711704;1712072;1712755	1711645;1712020;1712689;1713269	-;-;-;-	2655	10	11
FBgn0165082	scaffold_13	1703814	1705205	-	1392	92	93
FBgn0165083	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1697613;1697744;1698053;1698284;1698747;1699854	1697674;1697921;1698202;1698484;1699260;1700302	-;-;-;-;-;-	1554	265	242
FBgn0165084	scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13;scaffold_13	1691195;1691636;1691852;1692215;1692374;1694132	1691451;1691786;1692120;1692305;1692486;1694186	-;-;-;-;-;-	936	61	61
FBgn0165085	scaffold_13;scaffold_13;scaffold_13;scaffold_13	1683454;1683565;1687426;1687658	1683509;1685645;1687598;1687759	-;-;-;-	2412	25	23
FBgn0165086	scaffold_16;scaffold_16;scaffold_16;scaffold_16	1285785;1285884;1288404;1288910	1285823;1288316;1288852;1289750	+;+;+;+	3762	1	1
